DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,SALES,ORDERS,CUSTOMER_REVIEWS,SHARES,COMMENTS,TOTAL_SUBSCRIBERS
1/14/2020,17,3,782,83,44,8,4,1021
1/15/2020,17,3,833,84,37,8,3,1035
1/16/2020,17,4,820,78,36,8,4,1048
1/17/2020,17,4,799,86,40,7,3,1061
1/18/2020,16,3,1313,120,57,7,3,1074
1/19/2020,17,4,1298,132,70,6,3,1087
1/20/2020,18,4,859,67,38,9,3,1101
1/21/2020,16,3,835,80,35,9,3,1114
1/22/2020,21,3,939,99,33,7,3,1132
1/23/2020,18,3,1070,79,42,8,3,1147
1/24/2020,15,3,940,80,40,7,3,1159
1/25/2020,19,4,1544,123,54,9,5,1174
1/26/2020,16,4,1218,114,72,7,4,1186
1/27/2020,19,4,968,68,46,8,4,1201
1/28/2020,20,3,856,86,43,8,4,1218
1/29/2020,16,4,827,90,49,9,5,1230
1/30/2020,20,3,906,88,47,8,3,1247
1/31/2020,19,4,1105,88,40,7,3,1262
2/1/2020,20,4,1636,135,60,8,4,1278
2/2/2020,22,5,1542,150,72,8,4,1295
2/3/2020,18,3,857,89,47,9,4,1310
2/4/2020,17,3,1001,86,46,10,4,1324
2/5/2020,17,4,1061,89,41,7,4,1337
2/6/2020,17,5,1057,98,48,8,4,1349
2/7/2020,19,5,854,106,42,8,4,1363
2/8/2020,20,4,1443,132,69,8,3,1379
2/9/2020,20,4,1587,142,79,10,4,1395
2/10/2020,21,5,1131,98,44,9,4,1411
2/11/2020,19,4,843,86,39,9,4,1426
2/12/2020,22,5,1073,96,42,8,4,1443
2/13/2020,19,5,1114,82,52,9,4,1457
2/14/2020,25,5,1202,80,49,10,4,1477
2/15/2020,21,6,1790,151,70,8,4,1492
2/16/2020,18,5,1785,141,69,10,4,1505
2/17/2020,18,4,1042,101,51,9,4,1519
2/18/2020,21,4,924,99,45,10,4,1536
2/19/2020,20,4,1105,90,51,9,4,1552
2/20/2020,22,4,1274,100,46,10,4,1570
2/21/2020,21,4,1330,88,45,9,5,1587
2/22/2020,20,4,1888,172,70,9,5,1603
2/23/2020,19,5,1851,132,72,10,5,1617
2/24/2020,18,4,1238,100,50,10,4,1631
2/25/2020,20,5,1134,92,52,8,5,1646
2/26/2020,23,5,1193,109,32,11,5,1664
2/27/2020,22,5,1420,100,47,8,5,1681
2/28/2020,19,5,1109,99,50,9,6,1695
2/29/2020,22,5,2149,171,90,10,5,1712
3/1/2020,22,5,1803,159,69,10,5,1729
3/2/2020,20,4,1416,112,53,12,5,1745
3/3/2020,22,4,1081,96,61,8,5,1763
3/4/2020,22,5,1340,92,46,10,4,1780
3/5/2020,19,4,1180,109,55,8,5,1795
3/6/2020,23,4,1100,105,49,10,5,1814
3/7/2020,23,5,1977,174,76,11,5,1832
3/8/2020,25,5,2145,162,75,12,5,1852
3/9/2020,25,5,1196,112,50,11,6,1872
3/10/2020,19,5,1116,92,69,12,4,1886
3/11/2020,20,5,1310,132,59,11,4,1901
3/12/2020,24,5,1318,110,61,10,5,1920
3/13/2020,24,5,1411,120,58,9,5,1939
3/14/2020,24,5,2210,154,70,11,7,1958
3/15/2020,32,5,2017,175,87,9,5,1985
3/16/2020,24,5,1613,99,62,12,5,2004
3/17/2020,26,4,1398,119,52,11,5,2026
3/18/2020,26,5,1327,111,62,12,5,2047
3/19/2020,25,6,1160,116,61,10,5,2066
3/20/2020,23,6,1353,124,68,11,5,2083
3/21/2020,25,6,2025,153,82,11,5,2102
3/22/2020,22,6,2308,163,76,11,5,2118
3/23/2020,23,5,1476,123,56,11,6,2136
3/24/2020,23,5,1250,143,67,12,6,2154
3/25/2020,24,5,1450,117,48,10,6,2173
3/26/2020,30,5,1528,126,47,10,5,2198
3/27/2020,20,6,1659,118,60,13,6,2212
3/28/2020,26,6,2362,216,85,12,6,2232
3/29/2020,20,5,2344,148,90,12,6,2247
3/30/2020,23,5,1468,122,66,14,6,2265
3/31/2020,27,6,1522,102,57,11,6,2286
4/1/2020,25,6,1657,92,49,13,6,2305
4/2/2020,22,5,1281,126,73,12,6,2322
4/3/2020,23,4,1433,125,55,11,5,2341
4/4/2020,27,5,2064,180,82,14,6,2363
4/5/2020,23,5,2331,184,102,13,7,2381
4/6/2020,26,5,1689,164,59,12,5,2402
4/7/2020,26,6,1419,122,62,13,5,2422
4/8/2020,24,5,1153,133,65,12,6,2441
4/9/2020,31,7,1459,118,69,13,6,2465
4/10/2020,27,6,1667,131,61,9,6,2486
4/11/2020,20,6,2424,187,109,11,6,2500
4/12/2020,26,6,2408,184,75,14,7,2520
4/13/2020,24,5,1502,152,69,12,5,2539
4/14/2020,28,7,1351,145,59,13,7,2560
4/15/2020,24,6,1636,132,73,11,5,2578
4/16/2020,26,6,1431,100,65,15,5,2598
4/17/2020,28,5,1908,126,60,14,6,2621
4/18/2020,29,5,2491,250,103,12,6,2645
4/19/2020,23,7,2227,193,106,12,5,2661
4/20/2020,26,6,1484,147,70,14,5,2681
4/21/2020,26,6,1572,152,59,15,6,2701
4/22/2020,25,6,1553,137,63,14,7,2720
4/23/2020,32,7,1774,123,66,16,7,2745
4/24/2020,28,5,1630,102,66,12,6,2768
4/25/2020,24,7,2231,216,108,12,7,2785
4/26/2020,30,6,2872,187,81,11,6,2809
4/27/2020,34,7,1622,139,70,14,5,2836
4/28/2020,31,6,1742,120,66,13,5,2861
4/29/2020,23,7,1523,134,62,13,6,2877
4/30/2020,26,6,1686,138,63,14,6,2897
5/1/2020,32,6,1681,142,67,15,7,2923
5/2/2020,26,6,1989,184,66,11,7,2943
5/3/2020,29,6,2954,234,96,13,7,2966
5/4/2020,31,7,1854,132,63,15,6,2990
5/5/2020,26,6,1580,117,73,13,6,3010
5/6/2020,28,6,1468,140,64,12,7,3032
5/7/2020,19,6,1711,142,69,15,7,3045
5/8/2020,26,5,1671,145,81,12,5,3066
5/9/2020,28,6,2578,243,117,13,6,3088
5/10/2020,25,8,2542,210,115,14,6,3105
5/11/2020,34,7,1750,142,68,13,7,3132
5/12/2020,25,7,1911,128,75,15,6,3150
5/13/2020,28,7,1767,157,70,13,7,3171
5/14/2020,30,7,1499,148,71,16,7,3194
5/15/2020,34,7,1906,140,75,14,7,3221
5/16/2020,25,6,2934,178,102,15,6,3240
5/17/2020,33,8,3320,252,126,15,6,3265
5/18/2020,30,7,1496,129,72,13,6,3288
5/19/2020,27,7,1729,139,78,11,7,3308
5/20/2020,31,7,1338,154,84,15,7,3332
5/21/2020,31,7,1787,131,82,14,6,3356
5/22/2020,28,7,1602,127,64,15,8,3377
5/23/2020,31,7,3036,177,117,14,7,3401
5/24/2020,29,7,2351,243,121,14,8,3423
5/25/2020,31,7,1413,143,82,18,7,3447
5/26/2020,33,7,1622,197,67,12,6,3473
5/27/2020,36,8,1367,137,71,16,7,3501
5/28/2020,27,6,1834,139,83,14,7,3522
5/29/2020,38,6,1355,145,70,14,7,3554
5/30/2020,25,7,2571,237,111,14,7,3572
5/31/2020,31,7,2032,220,133,14,7,3596
6/1/2020,33,7,1656,165,77,16,7,3622
6/2/2020,32,7,1994,140,72,17,7,3647
6/3/2020,30,7,1775,135,71,16,8,3670
6/4/2020,31,8,1566,128,80,15,7,3693
6/5/2020,30,6,1711,122,68,14,8,3717
6/6/2020,30,7,2581,225,114,16,7,3740
6/7/2020,35,7,2698,231,121,19,7,3768
6/8/2020,33,6,1484,149,89,15,7,3795
6/9/2020,30,7,1821,179,84,15,7,3818
6/10/2020,35,9,1254,180,74,15,5,3844
6/11/2020,33,8,1612,155,89,15,7,3869
6/12/2020,35,8,8185,132,385,55,35,3896
6/13/2020,35,7,2746,228,105,16,8,3924
6/14/2020,30,7,2590,228,118,14,7,3947
6/15/2020,31,7,1480,152,92,13,8,3971
6/16/2020,35,7,1553,152,82,17,6,3999
6/17/2020,35,9,1757,153,81,14,8,4025
6/18/2020,33,8,1710,158,95,15,6,4050
6/19/2020,34,7,1623,154,70,18,7,4077
6/20/2020,38,8,2461,253,106,14,8,4107
6/21/2020,31,8,2765,258,103,14,9,4130
6/22/2020,35,9,1634,151,86,17,8,4156
6/23/2020,33,9,1708,188,84,18,8,4180
6/24/2020,33,7,2097,151,96,14,8,4206
6/25/2020,38,7,1477,141,85,17,7,4237
6/26/2020,37,7,1403,175,80,17,7,4267
6/27/2020,37,8,2785,232,126,13,8,4296
6/28/2020,39,8,2407,262,127,18,7,4327
6/29/2020,34,9,1666,129,70,18,8,4352
6/30/2020,37,8,1586,195,108,16,8,4381
7/1/2020,33,8,1675,183,89,19,9,4406
7/2/2020,36,8,1995,146,87,19,9,4434
7/3/2020,34,7,1857,147,91,17,7,4461
7/4/2020,35,10,2800,303,138,16,8,4486
7/5/2020,37,7,2212,241,127,15,7,4516
7/6/2020,32,8,1520,159,81,17,7,4540
7/7/2020,43,10,1229,135,92,18,7,4573
7/8/2020,32,8,1576,169,90,16,10,4597
7/9/2020,31,8,1879,172,80,13,9,4620
7/10/2020,40,8,1802,189,100,19,10,4652
7/11/2020,38,8,2513,228,135,17,9,4682
7/12/2020,38,10,12819,225,705,85,40,4710
7/13/2020,38,6,1593,186,101,19,8,4742
7/14/2020,36,10,1746,196,89,20,9,4768
7/15/2020,33,7,1841,151,92,12,9,4794
7/16/2020,36,8,1433,199,96,18,8,4822
7/17/2020,34,8,1760,181,83,15,7,4848
7/18/2020,40,9,2800,300,135,18,11,4879
7/19/2020,36,7,2453,270,136,18,8,4908
7/20/2020,34,9,1826,136,81,19,8,4933
7/21/2020,35,10,2184,179,111,17,9,4958
7/22/2020,38,7,1686,202,78,14,8,4989
7/23/2020,35,9,1769,167,79,17,9,5015
7/24/2020,34,8,1577,177,103,19,10,5041
7/25/2020,38,9,2598,271,147,20,9,5070
7/26/2020,38,9,2669,196,123,16,8,5099
7/27/2020,35,8,1733,216,98,20,9,5126
7/28/2020,36,9,1525,169,106,17,8,5153
7/29/2020,38,10,1733,196,92,19,10,5181
7/30/2020,32,9,1945,185,117,17,10,5204
7/31/2020,32,10,1772,211,77,19,9,5226
8/1/2020,35,8,2788,294,150,20,8,5253
8/2/2020,37,8,2481,276,157,16,8,5282
8/3/2020,39,9,1821,172,102,17,9,5312
8/4/2020,44,10,1740,205,92,19,9,5346
8/5/2020,42,9,1531,154,92,23,9,5379
8/6/2020,38,9,1745,203,99,17,9,5408
8/7/2020,38,9,1523,170,103,22,8,5437
8/8/2020,35,8,2376,324,151,22,9,5464
8/9/2020,39,10,2583,292,157,19,7,5493
8/10/2020,38,10,1740,205,86,18,8,5521
8/11/2020,40,9,1488,195,94,17,9,5552
8/12/2020,36,9,1867,160,87,19,10,5579
8/13/2020,41,9,1785,178,93,16,8,5611
8/14/2020,45,9,1569,208,107,19,9,5647
8/15/2020,39,9,2143,298,147,22,9,5677
8/16/2020,41,11,2495,328,184,18,11,5707
8/17/2020,42,9,1612,205,100,19,11,5740
8/18/2020,38,9,1707,178,99,16,9,5769
8/19/2020,41,9,1626,182,99,20,9,5801
8/20/2020,40,10,1348,200,92,20,9,5831
8/21/2020,40,9,1622,153,98,19,9,5862
8/22/2020,37,9,2455,349,165,19,9,5890
8/23/2020,40,11,2692,313,150,19,10,5919
8/24/2020,42,11,1570,225,92,21,10,5950
8/25/2020,46,9,1972,169,91,20,10,5987
8/26/2020,44,8,1366,227,96,20,11,6023
8/27/2020,50,11,1911,247,101,20,11,6062
8/28/2020,38,9,1653,176,113,22,10,6091
8/29/2020,44,10,2755,328,130,21,11,6125
8/30/2020,42,8,2558,306,147,20,9,6159
8/31/2020,50,11,1886,173,103,23,11,6198
9/1/2020,38,8,1628,215,83,21,11,6228
9/2/2020,38,10,1508,222,93,23,11,6256
9/3/2020,39,10,1937,193,95,21,10,6285
9/4/2020,33,9,1677,230,94,16,9,6309
9/5/2020,39,9,2604,258,157,23,8,6339
9/6/2020,39,11,2864,264,151,20,10,6367
9/7/2020,42,10,1526,211,98,20,11,6399
9/8/2020,43,11,1804,209,108,21,10,6431
9/9/2020,50,12,1604,194,122,20,11,6469
9/10/2020,46,8,1683,227,121,21,11,6507
9/11/2020,40,12,1721,221,84,19,10,6535
9/12/2020,39,10,2180,343,166,23,11,6564
9/13/2020,45,9,2368,313,154,20,7,6600
9/14/2020,37,9,1946,225,107,20,9,6628
9/15/2020,51,10,1869,203,101,19,9,6669
9/16/2020,48,11,1708,257,107,21,9,6706
9/17/2020,41,10,1764,196,108,21,11,6737
9/18/2020,36,12,1673,259,100,22,10,6761
9/19/2020,49,9,2942,322,145,19,11,6801
9/20/2020,43,10,2544,277,153,18,11,6834
9/21/2020,49,9,1774,245,110,22,9,6874
9/22/2020,36,11,1935,219,114,24,9,6899
9/23/2020,41,11,1604,235,117,19,11,6929
9/24/2020,44,10,2015,244,103,25,10,6963
9/25/2020,44,8,1479,225,111,22,9,6999
9/26/2020,42,11,3054,307,178,21,11,7030
9/27/2020,47,11,2533,360,181,20,12,7066
9/28/2020,39,11,1715,219,108,18,12,7094
9/29/2020,44,12,1428,235,107,24,11,7126
9/30/2020,45,9,8432,173,560,100,55,7162
10/1/2020,47,11,1586,231,97,20,12,7198
10/2/2020,48,12,1667,207,108,24,10,7234
10/3/2020,40,9,2633,388,178,17,12,7265
10/4/2020,38,11,2932,354,177,18,11,7292
10/5/2020,51,10,1826,228,108,22,12,7333
10/6/2020,46,11,1849,234,114,22,11,7368
10/7/2020,42,11,1602,202,102,23,12,7399
10/8/2020,52,10,1645,261,120,21,11,7441
10/9/2020,46,10,2134,270,111,28,9,7477
10/10/2020,51,11,2523,352,163,22,12,7517
10/11/2020,46,10,3183,393,162,22,10,7553
10/12/2020,55,10,1781,214,112,20,12,7598
10/13/2020,54,12,1833,209,108,22,11,7640
10/14/2020,45,10,2035,229,121,24,12,7675
10/15/2020,50,12,2079,238,109,25,12,7713
10/16/2020,49,11,1830,220,132,19,11,7751
10/17/2020,52,9,2677,363,196,22,12,7794
10/18/2020,42,10,2780,355,156,24,11,7826
10/19/2020,50,12,1933,208,115,24,9,7864
10/20/2020,51,10,2045,243,107,23,11,7905
10/21/2020,38,11,1885,252,111,24,10,7932
10/22/2020,41,12,2009,236,139,21,11,7961
10/23/2020,37,12,2210,260,112,26,10,7986
10/24/2020,46,11,2968,307,180,25,10,8021
10/25/2020,50,10,2961,367,184,20,13,8061
10/26/2020,54,13,1629,207,105,20,12,8102
10/27/2020,48,13,1422,209,107,21,11,8137
10/28/2020,55,12,2012,221,103,25,11,8180
10/29/2020,41,11,1927,214,107,20,11,8210
10/30/2020,39,10,1854,224,84,22,12,8239
10/31/2020,47,10,3016,348,186,24,11,8276
11/1/2020,50,12,2939,387,214,23,13,8314
11/2/2020,48,12,2203,230,120,24,11,8350
11/3/2020,38,13,2006,201,102,21,11,8375
11/4/2020,48,12,1848,267,111,25,11,8411
11/5/2020,42,10,2206,220,114,22,11,8443
11/6/2020,52,13,1972,239,107,23,12,8482
11/7/2020,50,10,3199,378,195,24,11,8522
11/8/2020,44,11,2908,369,195,24,12,8555
11/9/2020,46,12,1912,268,106,24,13,8589
11/10/2020,43,14,2072,254,129,22,11,8618
11/11/2020,48,15,2067,222,139,23,11,8651
11/12/2020,54,12,2174,297,144,24,12,8693
11/13/2020,44,11,2029,249,156,21,11,8726
11/14/2020,52,12,2565,361,166,23,12,8766
11/15/2020,47,13,3023,403,235,25,12,8800
11/16/2020,45,11,2285,252,118,21,13,8834
11/17/2020,49,14,2064,256,115,27,11,8869
11/18/2020,44,12,2085,308,127,27,11,8901
11/19/2020,47,12,2361,240,116,21,11,8936
11/20/2020,44,13,2006,240,128,28,11,8967
11/21/2020,60,12,2754,376,160,24,13,9015
11/22/2020,50,13,3221,414,181,25,10,9052
11/23/2020,47,11,2088,212,140,23,15,9088
11/24/2020,51,11,1992,201,124,27,14,9128
11/25/2020,50,11,2179,236,126,26,12,9167
11/26/2020,49,13,2339,210,131,23,13,9203
11/27/2020,54,13,2239,241,140,22,10,9244
11/28/2020,54,13,3484,397,157,21,15,9285
11/29/2020,48,14,4015,345,199,25,11,9319
11/30/2020,48,12,2200,217,123,26,12,9355
12/1/2020,50,13,2354,256,128,27,10,9392
12/2/2020,39,11,2186,276,140,25,13,9420
12/3/2020,43,12,2120,212,112,22,11,9451
12/4/2020,58,13,2193,276,114,23,12,9496
12/5/2020,60,13,3344,415,154,28,12,9543
12/6/2020,50,12,3658,421,181,24,11,9581
12/7/2020,55,12,2923,288,145,26,11,9624
12/8/2020,53,10,2210,314,127,22,13,9667
12/9/2020,68,12,2293,249,111,26,11,9723
12/10/2020,58,14,2391,261,122,24,11,9767
12/11/2020,51,13,2516,248,110,28,13,9805
12/12/2020,47,13,3747,390,172,27,16,9839
12/13/2020,44,13,4142,450,202,24,13,9870
12/14/2020,53,13,1863,226,114,25,11,9910
12/15/2020,48,12,1884,239,145,24,12,9946
12/16/2020,45,13,2365,298,129,22,13,9978
12/17/2020,49,13,2777,289,132,23,12,10014
12/18/2020,47,13,2122,253,127,26,14,10048
12/19/2020,62,12,2653,429,211,27,13,10098
12/20/2020,58,10,4034,409,213,26,14,10146
12/21/2020,53,14,2621,304,136,25,12,10185
12/22/2020,61,12,2292,267,139,28,14,10234
12/23/2020,54,12,2332,293,129,26,13,10276
12/24/2020,49,14,2349,337,140,28,12,10311
12/25/2020,62,12,2645,283,128,21,16,10361
12/26/2020,57,14,3698,403,199,16,10,10404
12/27/2020,48,14,4164,430,195,27,12,10438
12/28/2020,53,14,1900,258,127,22,12,10477
12/29/2020,49,11,2445,333,125,26,16,10515
12/30/2020,47,15,2385,274,140,26,15,10547
12/31/2020,59,13,2634,263,152,31,15,10593
1/1/2021,65,13,2563,248,150,28,13,10645
1/2/2021,47,13,4411,451,177,27,16,10679
1/3/2021,58,11,3343,442,229,29,14,10726
1/4/2021,51,14,2766,259,131,28,14,10763
1/5/2021,52,12,2922,288,144,25,13,10803
1/6/2021,52,11,3299,232,124,30,13,10844
1/7/2021,50,11,2662,279,138,24,13,10883
1/8/2021,55,15,2904,287,141,28,13,10923
1/9/2021,51,12,3476,483,174,23,14,10962
1/10/2021,57,15,3244,381,217,28,14,11004
1/11/2021,55,13,3098,241,156,28,13,11046
1/12/2021,54,11,2871,252,135,32,15,11089
1/13/2021,50,12,3228,240,157,23,9,11127
1/14/2021,52,15,2503,315,135,26,14,11164
1/15/2021,60,13,3068,321,150,30,14,11211
1/16/2021,59,13,5220,430,162,28,15,11257
1/17/2021,50,14,4607,469,259,28,13,11293
1/18/2021,57,14,3044,283,160,25,14,11336
1/19/2021,60,15,2979,277,135,26,15,11381
1/20/2021,47,16,2522,271,112,31,16,11412
1/21/2021,60,13,3414,272,144,27,13,11459
1/22/2021,53,12,2837,238,120,29,14,11500
1/23/2021,60,13,4784,435,220,27,16,11547
1/24/2021,52,14,3861,423,220,24,11,11585
1/25/2021,46,12,2705,305,128,30,13,11619
1/26/2021,48,12,3523,287,157,29,16,11655
1/27/2021,57,14,2988,280,153,34,15,11698
1/28/2021,59,14,3562,260,156,25,14,11743
1/29/2021,52,14,3101,288,142,30,13,11781
1/30/2021,61,13,3841,460,183,24,13,11829
1/31/2021,48,13,5153,381,235,29,13,11864
2/1/2021,57,13,2981,290,139,31,16,11908
2/2/2021,51,15,3405,294,123,22,13,11944
2/3/2021,54,15,3205,268,163,28,14,11983
2/4/2021,58,11,2716,272,174,27,13,12030
2/5/2021,53,13,3278,296,143,26,15,12070
2/6/2021,56,12,5928,385,264,30,13,12114
2/7/2021,64,13,5122,451,219,32,14,12165
2/8/2021,55,14,3249,265,139,28,12,12206
2/9/2021,63,12,3635,323,136,29,12,12257
2/10/2021,52,13,3365,360,169,29,14,12296
2/11/2021,62,13,3379,267,134,29,12,12345
2/12/2021,67,14,2961,309,157,26,17,12398
2/13/2021,44,14,5124,408,207,32,11,12428
2/14/2021,54,13,5546,487,210,30,13,12469
2/15/2021,63,14,3083,257,162,30,14,12518
2/16/2021,58,13,19293,309,705,135,70,12563
2/17/2021,62,14,3359,270,141,28,13,12611
2/18/2021,56,17,3101,290,164,29,13,12650
2/19/2021,60,16,3758,266,172,25,13,12694
2/20/2021,59,12,4997,483,237,24,14,12741
2/21/2021,67,16,5557,409,208,27,17,12792
2/22/2021,61,16,3354,315,141,31,15,12837
2/23/2021,62,13,3447,289,150,27,16,12886
2/24/2021,58,16,3652,296,154,26,15,12928
2/25/2021,57,17,3595,305,135,27,16,12968
2/26/2021,58,13,2805,278,161,28,10,13013
2/27/2021,63,13,4684,462,226,29,14,13063
2/28/2021,58,16,5785,522,186,36,17,13105
3/1/2021,62,15,3494,279,136,33,14,13152
3/2/2021,73,15,3367,338,143,33,17,13210
3/3/2021,66,15,3080,349,150,33,17,13261
3/4/2021,59,15,3190,279,180,27,14,13305
3/5/2021,68,13,2862,260,155,26,14,13360
